id,date,content,username,retweet_counter,favorite_count,reply_count,user_followers_count,country
1356704210004377602,2021-02-02 20:41:04+00:00,"Solidarity to the Indian Farmers. 

Thank you Rihanna. 

In an era where political leadership is lacking we are grateful for others stepping forward

#FarmersProtest https://t.co/jdZnGWURBl",ClaudiaWebbe,6211,15050,1069,44202,"Leicester, England"
1356700966440087558,2021-02-02 20:28:11+00:00,"Indian farmers are leading the biggest protest in human history. 

They are demanding dignity and justice in the face of increasingly harsh policies that favor corporations. 

It's inspiring to see them protest with such vigor and resolve.   #FarmersProtest https://t.co/Z9Ludatpsb",simran,2925,6562,60,92961,New York I Texas I Punjab
1356700596896735232,2021-02-02 20:26:43+00:00,Environmentalists for #FarmersProtest,vanessa_vash,6764,28900,330,207747,Planet Earth 🌍 
1356695658674216960,2021-02-02 20:07:05+00:00,"It is important that the international community stand in solidarity with the #FarmersProtest!

#IStandWithFarmers — please support the #FarmersProstests in India 🇮🇳! @LicypriyaK 

https://t.co/gNU3Ga2quO",Jamie_Margolin,6965,17851,662,55791,"New York, USA"
1356694884615340037,2021-02-02 20:04:01+00:00,"We stand in solidarity with the #FarmersProtest in India.
 https://t.co/tqvR0oHgo0",GretaThunberg,103906,319211,49779,4975223,Sverige
1356689167833419777,2021-02-02 19:41:18+00:00,"You doesn’t need 1 million followers to influence the millions. Your one tweet can change the whole world. 

SUPPORT OUR FARMERS. 🙏🏻
#FarmersProtest",LicypriyaK,7182,23635,492,128883,"New Delhi, India"
1356685927259770887,2021-02-02 19:28:25+00:00,"I stand with the farmers in India.
Without farmers, there is no food.
Please support the #FarmersProtest! @LicypriyaK",Jamie_Margolin,14924,52859,1267,55791,"New York, USA"
1356685282016325634,2021-02-02 19:25:51+00:00,The government of India’s Prime Minister Modi is presiding over a dangerous regression in free speech rights in pursuit of its Hindu nationalist agenda. https://t.co/Xevp0LgiKS #FarmersProtest https://t.co/joQVCFqXGr,hrw,6958,12118,890,4671677,
1356684982383759361,2021-02-02 19:24:40+00:00,"I stand with farmers of India! Please support the #FarmersProtest! @LicypriyaK 

https://t.co/eQxda34JX9",Jamie_Margolin,8842,25633,563,55791,"New York, USA"
1356683303802257409,2021-02-02 19:18:00+00:00,"“Indian authorities should be releasing activists and others already jailed or facing criminal charges in politically motivated cases, not adding to that list"" ~ @mg2411 https://t.co/OyiTBUjNz2 #FarmersProtest https://t.co/4hRqEISrML",hrw,7603,16369,781,4671677,
