created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,text_processed
2021-03-22 04:43:44,"What say @narendramodi??

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/uofB6tIRa2",1,1,singh_harry07,398,False,what
2021-03-22 04:40:53,"Fact is Fact
Check it
#FarmersProtest https://t.co/xSB05ksYdC",0,0,Gurdeep11098493,188,False,fact factcheck
2021-03-22 04:38:45,Beautiful Glimpses ..... #23March_किसानों_के_साथ #FarmersProtest https://t.co/KN0AtR79eX,2,1,HarjeetMann71,180,False,beauti glimps
2021-03-22 04:37:56,"Boycott EVM vote only by ballot

#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/gC2ZoaeFts",0,0,Singhthefighter,439,False,boycott vote onli ballot
2021-03-22 04:37:06,"Doing what is right, not what is easy 

 #FarmersProtest #23March_किसानों_के_साथ https://t.co/KjbliGpzfc",1,8,HryTweet_,3699,False,do what right what easi
2021-03-22 04:35:05,"Let’s keep our Spirit High 
#23March_किसानों_के_साथ #FarmersProtest",5,1,satwinderk13,856,False,let keep spirit high
2021-03-22 04:32:54,"Good night take care of yourself. 

#23March_किसानों_के_साथ

#FarmersProtest https://t.co/qWItOhEFAR",1,1,Teamkisaan1,145,False,good night take care yourself
2021-03-22 04:31:32,"Without Farmers this country will not survive
#23March_किसानों_के_साथ 
#FarmersProtest https://t.co/xLH8tjDZ0d",3,4,ParNain9,134,False,without thi countri will surviv
2021-03-22 04:31:25,"The time is always right to do what is right.

 #23March_किसानों_के_साथ #FarmersProtest",1,2,singh_harry07,398,False,time alway right what right
2021-03-22 04:31:08,"Injustice anywhere is a threat to justice everywhere.

#23March_किसानों_के_साथ 
#FarmersProtest",2,0,singh_harry07,398,False,injustic anywher threat justic everywher
2021-03-22 04:30:36,"A rebellion is not a revolution. It may ultimately lead to that end.

#23March_किसानों_के_साथ 
#FarmersProtest",0,1,singh_harry07,398,False,rebellion revolut ultim lead that
2021-03-22 04:30:03,"Agree 
 #23March_किसानों_के_साथ                     #FarmersProtest https://t.co/yV8QgwY6ic",3,2,GurpreetSingh08,158,False,agre
2021-03-22 04:24:34,All opposition parties duped farmers please watch this report #FarmersProtest https://t.co/EblfQ6FDFy,1,2,KrishanSran,32,False,opposit parti dupe pleas watch thi report
2021-03-22 04:22:29,@Davinde83140028's account has been withheld in India in response to a legal demand. Learn more.,0,0,Davinde83140028,8,False,account been withheld india respons legal demand learn more
