related_id,id,created_at,text,retweet_count,favorite_count,user_screen_name,user_followers_count,user_verified,country
1357768519430070276,1358109908281954304,2021-02-06 17:46:49+00:00,"@SusanSarandon Thanks for solidarity.

#StandWithFarmers 
#WorldSupportsIndianFarmers 
#IndiaSupportsChakkaJaam https://t.co/ZDVlpDQtkX",0,1,JaspreetSivian,83,False,"Punjab, India"
1357768519430070276,1358104134059134982,2021-02-06 17:23:52+00:00,"@SusanSarandon infected too 🤦🏽‍♀️. 

Indian farmers, all political parties &amp; think tanks have lobbied for open market access for farmers for seven decades.

Why do you want them to stay poor, @SusanSarandon? https://t.co/8BCWXLqJ4H",0,0,SweetIfYouAre,156,False,
1357768519430070276,1358090826077802500,2021-02-06 16:30:59+00:00,@SusanSarandon  Thanks for creating awareness through your tweet #FarmersProtest https://t.co/mfzwuqI1Df,0,0,usernamekiska,73,False,भारत
1357768519430070276,1358070144333996034,2021-02-06 15:08:48+00:00,@SusanSarandon thank you siding Indian farmers #FarmersStandingFirm https://t.co/M1ubgI16Ls,0,0,carenpreet,16,False,
1357768519430070276,1358034922083000324,2021-02-06 12:48:51+00:00,"@SusanSarandon Drugs are bad for health, tweeting under drug influence can be dangerous..

https://t.co/eD8VUiDYee https://t.co/cHr16s7SLg",0,2,prasadhemant,605,False,Bharat | Malaysia | Singapore
1357768519430070276,1358021788551114753,2021-02-06 11:56:39+00:00,@SusanSarandon Thanks 🙏🏽 https://t.co/xcFKXJzxK4,0,0,VPra52,8248,False,Hyderabad
1357768519430070276,1358018188659761155,2021-02-06 11:42:21+00:00,"@SusanSarandon kindly ask you to read the farm laws that were enacted by Govt of India.
There is not a single provision in the farm laws that is bad for farmers. 
All agricultural economists have supported it .

Some political parties in India r sponsoring this protest. https://t.co/GcZJM3dXSt",0,0,AD1India,113,False,Kolkata
1357768519430070276,1358012797003722759,2021-02-06 11:20:56+00:00,@SusanSarandon Thank you.. https://t.co/nV9La7ufEZ,0,0,Gurpree65851810,3,False,
1357768519430070276,1358003294988247042,2021-02-06 10:43:10+00:00,"@SusanSarandon

These aren't #ProtestingFarmers at all, they're just #Antifa, dressed-up like #Farmers.

Also, shouldn't you be someplace else, glorifying #ConvictedKillers, and the #Padres who love them a little too much ? https://t.co/0ZBWifKT4A",1,0,rambus777,1180,False,
1357768519430070276,1357991862091599874,2021-02-06 09:57:44+00:00,"@SusanSarandon please find ""blithering Idiots"" guide to Farm laws

So stop being one ... https://t.co/Xfimc1TOYB https://t.co/Uwzd3X3uGv",0,0,gauravshaw,20,False,
