date,user,location,text
2021-03-05 15:15:33,MnARMY_9597,Trong tym Bangtan đóa~,"@Katanga0412 @ThanhNhan05 RACISM IS NOT AN OPINION
RACISM IS NOT ENTERTAINMENT 

#NOtoRacism
#NEINzuRassismus… https://t.co/ThDki1umh6"
2021-03-05 15:13:36,ThanhNhan05,,"@Aerikwin_twt RACISM IS NOT AN OPINION
RACISM IS NOT ENTERTAINMENT 

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/nEKNUkQ4Bs"
2021-03-05 15:13:06,ThanhNhan05,,"@Katanga0412 RACISM IS NOT AN OPINION
RACISM IS NOT ENTERTAINMENT 

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/71lqF8KcZJ"
2021-03-05 15:11:18,M3691732,"Dubai, United Arab Emirates",@modooborahae @bayern3 @BR_Presse WE WANT FAIR MEDIA @bayern3 @BR_presse #NOtoRacism
2021-03-05 15:04:14,wallokii_50,"~ Another World, like ч𝚘𝚞 ☘","@Aerikwin_twt RACISM IS NOT AN OPINION
WE WANT FAIR MEDIA
#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/x0JG1UpG5s"
2021-03-05 14:50:56,Zsh22637707,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/tl0AVp0MNg"
2021-03-05 14:47:51,Ieattreats1,,I will not tolerate this. This is disgusting in so many ways and something needs to be done. #justice… https://t.co/YCg71mnxKQ
2021-03-05 14:42:29,Mehrak89499680,,"We need help to international army
#NOtoRacism
#Army_help https://t.co/a7Ex4lpcXE"
2021-03-05 14:34:47,Zb80838620,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/JFkX5zmFOJ"
2021-03-05 14:33:08,Yeganeh36307163,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/BkaSUakwkJ"
2021-03-05 14:30:46,esabelmaha,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/jFFSNKb3el"
2021-03-05 14:29:51,purple_tae_27,,"@Katanga0412 RACISM IS NOT AN OPINION
RACISM IS NOT ENTERTAINMENT 

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/42xQq2Nvfx"
2021-03-05 14:29:27,Yeganeh36307163,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/2QNgWAd6R7"
2021-03-05 14:28:49,maleka1999_,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/nfvyUqoGRR"
2021-03-05 14:28:09,ynt019,borahae an tĩnh 💜🏠,"@Katanga0412 RACISM IS NOT AN OPINION
RACISM IS NOT ENTERTAINMENT 

#NOtoRacism
#NEINzuRassismus
#Matuschik_OUT… https://t.co/RCetDG8d8o"
2021-03-05 14:28:09,ArmyMahoura,,"Hello army, we are the Iranian army. Please help us report a personal page called mehradhiddenofficial because afte… https://t.co/YhsxFyaf4X"
